Sensor	R1	R2
mutant0	8.718381233008992	7.921439635741253
mutant1	3.566202621355623	4.185272567805476
mutant10	16.119992269100862	14.635368127885563
mutant100	19.10035650455269	6.889514489477711
mutant1000	9.250819849468842	7.638070892259255
mutant1001	5.527118079175805	4.532958165582216
mutant1002	2.820048471676522	8.381705658026567
mutant1003	19.171691924911087	15.20538735148479
mutant1004	5.023057112435885	12.723980246540764
mutant1005	32.644524754643214	5.4476369439057954
mutant1006	9.991285287911257	12.862970115307144
mutant1007	8.556253436786358	2.911088648650516
mutant1008	4.417123713121864	5.566813437953448
mutant1009	6.203451190562948	4.54261792430502
mutant101	1.9225858134969955	2.3287376034252816
mutant1010	25.2515622907035	28.953332029593415
mutant1011	2.624503458610426	2.3782488630709175
mutant1012	5.763348310589046	5.560911310044381
mutant1013	4.5140744651911495	10.187586907088086
mutant1014	20.117727596961945	29.654121020634488
mutant1015	32.9040235076587	32.11433325443244
mutant1016	5.964650445251912	17.282970330774486
mutant1017	16.218806420238927	4.881876397804895
mutant1018	73.8561890328365	1.2172625520318299
mutant1019	3.248661254609389	15.092320865261165
mutant102	2.3234338916769386	6.387342109012894
mutant1020	15.573874461008462	3.329258319377023
mutant1021	39.39656973553665	19.075177084933852
mutant1022	2.4202325719186364	12.762672282100896
mutant1023	5.672649091190278	7.747332012397604
mutant1024	1.7749018210881535	2.125331669566299
mutant1025	12.57476290691498	2.2609325601675083
mutant1026	5.60828880276303	8.818719277563943
mutant1027	15.267007493555255	2.585134128508778
mutant1028	4.24234025736258	7.195758265699676
mutant1029	12.075134127341585	12.052580209025276
mutant103	28.398486689003413	21.25033049590473
mutant1030	16.731487319461063	12.848950724205261
mutant1031	6.174132696981697	6.1598881790138025
mutant1032	27.271571043614948	4.490912977375161
mutant1033	32.82841723790417	40.29526517088619
mutant1034	6.057650660825274	14.517842938351318
mutant1035	14.013857321542801	13.121797896217776
mutant1036	6.918434035887673	5.120590922262115
mutant1037	3.9474779560883495	3.64602537263486
mutant1038	18.5523882935236	2.5362004499400603
mutant1039	5.877168654003199	7.622280842290441
mutant104	8.524151295855994	5.632332753162667
mutant1040	11.016221341775994	10.476416775170206
mutant1041	7.977620839617424	9.789322786378165
mutant1042	4.915856179437949	5.266524042565286
mutant1043	7.885369487303707	3.9468200489140406
mutant1044	12.118873588096017	4.91643781850253
mutant1045	7.674879249074515	5.5256199634729475
mutant1046	7.375746509168916	5.895792528617579
mutant1047	15.905724218273306	41.024908752436524
mutant1048	23.218644243909115	36.87921432447136
mutant1049	2.8623401548321934	7.691490020538147
mutant105	14.888965649769617	4.4787464871913025
mutant1050	3.7832864553389864	3.326511395676092
mutant1051	8.160028985800755	23.588511656406762
mutant1052	10.171938212211574	2.46316921127428
mutant1053	4.788817455430543	16.84483608007979
mutant1054	23.532353596334893	6.4563470711945445
mutant1055	5.43238499178819	3.114837137609893
mutant1056	7.652258317300095	7.148529761145384
