Sensor	R1	R2
mutant0	0.31741777932491977	0.31922027410645226
mutant1	0.17774992302133652	0.09745762711864407
mutant10	0.31770603775782025	0.4
mutant100	0.22103520481044586	0.254766827294309
mutant1000	0.3386798867673344	0.25710901940731623
mutant1001	0.2946057781024122	0.22655694702725987
mutant1002	0.08102793930251591	0.05
mutant1003	0.21892535887560563	0.22557764931163737
mutant1004	0.2873740320044914	0.23286099319860928
mutant1005	0.07372881355932204	0.07372881355932204
mutant1006	0.055932203389830515	0.05
mutant1007	0.06186440677966102	0.055932203389830515
mutant1008	0.06779661016949153	0.06186440677966102
mutant1009	0.2363838271174023	0.20520605097826244
mutant101	0.06186440677966102	0.05
mutant1010	0.305875177077423	0.33017496301155347
mutant1011	0.09152542372881356	0.055932203389830515
mutant1012	0.311480099359967	0.24300551123132796
mutant1013	0.3286166301918657	0.4
mutant1014	0.215909758657216	0.27134426992821614
mutant1015	0.1899278730301088	0.21344757229500255
mutant1016	0.28862104782571185	0.3610176541752451
mutant1017	0.07372881355932204	0.05
mutant1018	0.05	0.05
mutant1019	0.1271940909844432	0.06186440677966102
mutant102	0.06779661016949153	0.07372881355932204
mutant1020	0.13812175832609158	0.05
mutant1021	0.055932203389830515	0.05
mutant1022	0.16849563448876761	0.20553846622657912
mutant1023	0.14921703305266992	0.17553530346112026
mutant1024	0.06186440677966102	0.06779661016949153
mutant1025	0.14273837247742388	0.11418610050876038
mutant1026	0.15633287129105716	0.2031458769695178
mutant1027	0.10261352519063571	0.12713317910233807
mutant1028	0.1582461393722578	0.14447016644928795
mutant1029	0.20423728813559322	0.18973513787587806
mutant103	0.4	0.3250246342198041
mutant1030	0.3075822782673334	0.19972610408072616
mutant1031	0.34996080846434596	0.36092964304752023
mutant1032	0.20216822891961783	0.21578696984405576
mutant1033	0.18245334988214856	0.18924383033299816
mutant1034	0.31101694915254235	0.36463420582114187
mutant1035	0.26570925278607505	0.20772280674018767
mutant1036	0.12338715725235247	0.055932203389830515
mutant1037	0.2141080752811891	0.2361707248144146
mutant1038	0.05	0.06186440677966102
mutant1039	0.25862159480035185	0.2906529507409832
mutant104	0.25585271503041057	0.2380476254078952
mutant1040	0.2639666146519103	0.23897421784895034
mutant1041	0.28887344973504947	0.2627037740890841
mutant1042	0.11902519965686795	0.13278780776051513
mutant1043	0.1916641465512312	0.12008420253785229
mutant1044	0.05120709717273712	0.05004886507987979
mutant1045	0.3614403454454518	0.26086323518857457
mutant1046	0.14162646274660606	0.11119299455397838
mutant1047	0.14678281287923087	0.21759856941962707
mutant1048	0.25111748930311917	0.2987330241184139
mutant1049	0.06186440677966102	0.12437890448933012
mutant105	0.20814365068720161	0.1728037489019334
mutant1050	0.08559322033898306	0.09152542372881356
mutant1051	0.12656931065120985	0.11627354906479784
mutant1052	0.06779661016949153	0.09745762711864407
mutant1053	0.4	0.3284077601693953
mutant1054	0.1675365663972977	0.2635593220338983
mutant1055	0.2516949152542373	0.170192349878581
mutant1056	0.19659246424347857	0.29800649316518846
mutant1057	0.26519537209128763	0.34415428890435584
mutant1058	0.22606053078130472	0.1290494495542033
mutant1059	0.23320363380535702	0.2126928433619813
mutant106	0.3483721284183832	0.4
mutant1060	0.1278049457484953	0.20639229188232047
mutant1061	0.2561733464666299	0.29066781886289583
mutant1062	0.2760402984759391	0.22382014958714874
mutant1063	0.09152542372881356	0.05
mutant1064	0.20433592213486254	0.3573786565814915
mutant1065	0.35685562764196405	0.2981384082349311
mutant1066	0.11423081236303241	0.14360908106067466
