Sensor	R1	R2
mutant0	-1.044011514976523	-1.1870461882614396
mutant1	0.3711864406779659	0.2158054005059012
mutant10	0.24009577794221093	0.28123672409767403
mutant100	-0.08853681118472619	-0.05824484312661766
mutant1000	0.8089553400219858	0.7813834306918173
mutant1001	-1.3701015071070066	-1.3910609378307919
mutant1002	-0.653282700437366	-0.6097410686061668
mutant1003	0.04576271186440661	-0.024435945481343996
mutant1004	-0.6946356166527901	-0.6551636508901262
mutant1005	-0.07340120629652534	-0.026887660956616845
mutant1006	0.527192964317571	0.35356590664320586
mutant1007	-0.8895944968956573	-0.5847773967043641
mutant1008	0.005084745762711673	0.005084745762711673
mutant1009	-1.376094238766726	-1.1472510141450418
mutant101	-0.36563409089159804	-0.36972663125347993
mutant1010	-1.4860748244216664	-1.5
mutant1011	0.6295157787654746	0.5390025763467297
mutant1012	-0.03046979801288405	-0.18519615665076952
mutant1013	-1.5	-1.3974752499525873
mutant1014	-0.4016949152542373	-0.5015060811285177
mutant1015	-0.9407898659656895	-0.869271776438415
mutant1016	0.8175631128424679	0.78642978957923
mutant1017	0.005084745762711673	0.14601341707123394
mutant1018	-1.5	-1.5
mutant1019	-1.3849980903793209	-1.2152542372881356
mutant102	0.3711864406779659	0.20847457627118637
mutant1020	-0.6160122119527506	-0.6532123314626943
mutant1021	0.6285437751649019	0.3772095233857967
mutant1022	0.3406179722534321	0.39518261973508806
mutant1023	-0.3621260247584187	-0.3252412678253851
mutant1024	-1.2901948158583898	-1.2243409335961881
mutant1025	-0.3741258919425309	-0.4905637255840396
mutant1026	-0.841784054788724	-1.1074669522914637
mutant1027	0.17848674242498522	0.005084745762711673
mutant1028	0.6152542372881356	0.5786497061531745
mutant1029	0.3911523483999957	0.35407196552688763
mutant103	0.5165436284942553	0.7219604601753489
mutant1030	0.5193356079497915	0.3088870114378488
mutant1031	0.005084745762711673	0.16182036710215758
mutant1032	-0.8783989436784135	-0.9216338865166644
mutant1033	0.6907830054060201	0.6966101694915254
mutant1034	-0.34332733986922465	-0.277983626796048
mutant1035	-1.2152542372881356	-1.3718651917356017
mutant1036	-0.025591403132205905	-0.21167190488486096
mutant1037		0.20339523908758053
mutant1038	-1.2152542372881356	-1.3659094437987338
mutant1039	0.2999992788653381	0.3857836335826199
mutant104	0.7779661016949149	0.8999999999999999
mutant1040	-1.428048831796094	-1.4954893434918635
mutant1041	-0.9106654555340741	-0.986601733191576
mutant1042	-0.34336304667908213	0.005084745762711673
mutant1043	0.32461801857660294	0.258252071720107
mutant1044	0.2704236332238899	0.48057361570750623
mutant1045	-0.8304457727489352	-0.7861334940460302
mutant1046	0.7846863795230935	0.8587729775313291
