Bin	R1	R2
P1	0.0007927986070405015	0.0007927986070405015
P10	0.0909564271928032	0.0909564271928032
P11	0.03478609614338354	0.03478609614338354
P12	0.0008434041503907	0.0008434041503907
P2	0.03587605311026238	0.03587605311026238
P3	0.09558395052685788	0.09558395052685788
P4	0.11265560994946851	0.11265560994946851
P5	0.11839155599097023	0.11839155599097023
P6	0.12950914354855614	0.12950914354855614
P7	0.13473838179585823	0.13473838179585823
P8	0.1255153405546164	0.1255153405546164
P9	0.12035123842979223	0.12035123842979223
