Sensor	R1	R2
mutant0	0.11449192904413824	0.1744395932898318
mutant1	0.26556324538146747	0.3744961511146118
mutant10	0.11140373858883623	0.08968334182312614
mutant100	0.22662455215961305	
mutant1000	0.3048146454091367	0.2918992464951436
mutant1001	0.12614172321793288	0.0932296153148146
mutant1002	0.18707925686516985	0.28407618632344045
mutant1003	0.22883262799109189	0.2502988447886157
mutant1004	0.1745762711864407	0.1793540831010691
mutant1005	0.13726562403007656	0.14244432820938524
mutant1006	0.2870315838743792	0.25589238414148746
mutant1007	0.06196313607506458	0.0946916208308386
mutant1008	0.18970076790489998	0.19853204956866405
mutant1009	0.1919877980514062	0.21540977186547888
mutant101	0.2726792058343142	0.25907143018444334
mutant1010	0.18197842464243116	0.19912679758118956
mutant1011	0.14613650026725064	0.19588502545114977
mutant1012	0.1004895104193374	0.052375212237238886
mutant1013	0.05	0.07309023377338522
mutant1014	0.2834026191216634	0.3039316266348683
mutant1015	0.276893245834416	0.214544339888288
mutant1016	0.12414879844842572	0.13110567444849663
mutant1017	0.10046145631686637	0.07655231244713215
mutant1018	0.2816595016156115	0.27878353385665255
mutant1019	0.12736491774515205	0.12900629730800195
mutant102	0.23502721411519165	0.2274921519593581
mutant1020	0.2916521955846724	0.24253799109180504
mutant1021	0.26144270861423236	0.354277151531685
mutant1022	0.14926901901189826	0.12619144226081275
mutant1023	0.2341778572465334	0.1968581936150593
mutant1024	0.1446939773058617	0.19237288135593222
mutant1025	0.32250209590375717	0.18179479616252997
mutant1026	0.30405099675168845	0.2973568675671949
mutant1027	0.12396958216240532	0.1572644682486517
mutant1028	0.13299357323870553	0.0967450585510386
mutant1029	0.2281365223244249	
mutant103	0.06871879166286242	0.05
mutant1030	0.20071027065262714	0.1693030787631869
mutant1031	0.1470182967852605	0.16319980277326035
mutant1032	0.09040048718060317	0.0796073647029698
mutant1033	0.23560334535781294	0.3204806950698779
mutant1034	0.05	0.0757720388697559
mutant1035	0.32128072219974313	0.3003154753040719
mutant1036	0.07308471653806539	0.07757901174543233
mutant1037	0.25509424502854133	0.2613549138027194
mutant1038	0.08644250755835521	0.07730518617749976
mutant1039	0.13738194252707453	0.10980282221479637
mutant104	0.24272998367338194	0.1790816588749754
mutant1040	0.14646969885182398	0.1324945528979266
mutant1041	0.3278534989480517	0.2862955589157776
mutant1042	0.06884458397564137	0.06786982664152195
mutant1043	0.1466599984443585	0.1475901151958265
mutant1044	0.14737411209386708	0.14891136232640984
mutant1045	0.2152399103127813	0.24106893768791401
mutant1046	0.06819881074522671	0.05901983657949848
mutant1047	0.11067235954041518	0.1456468308940958
mutant1048	0.0758088283044727	0.05787719687348924
mutant1049	0.08325430988873309	0.12980255157355908
mutant105	0.05	0.05150997560471296
mutant1050	0.3413213706379879	0.2854747265056511
mutant1051	0.061745558765373736	0.05
mutant1052	0.3128826498913719	0.3480821659546699
mutant1053	0.16569285930346508	0.14041769647345825
mutant1054	0.2887734174630361	0.3058102360661877
mutant1055	0.1401624067784532	0.14851031906779866
mutant1056	0.3623071588489448	0.2680960645526647
mutant1057	0.07472735870041347	0.10877566468555751
mutant1058	0.184940517506023	0.241430918415028
mutant1059	0.2364590851124376	0.32683812994062666
mutant106	0.059049731916502854	0.05588773919361349
mutant1060	0.20349913393514912	0.2237117722551997
mutant1061	0.13820404036656803	0.15834061287640638
mutant1062	0.24673343155729144	0.29866955340803936
mutant1063	0.0898078890407065	0.1073908140784816
mutant1064	0.13713245930395235	0.10545997217689691
mutant1065	0.1820968047318686	0.19475496564853914
mutant1066	0.05	0.05
mutant1067	0.2563776865988774	0.261307666848818
mutant1068	0.327686895088501	0.3099558487234294
mutant1069	0.05	0.05
mutant107	0.14106187360863642	0.15687146504005223
mutant1070	0.0966047743727502	0.08897926865733773
mutant1071	0.19537373761781246	0.16949075155940496
mutant1072	0.09275876144535447	0.08109811936039485
mutant1073	0.14784475976760544	0.10779977753317276
mutant1074	0.29451292772045184	0.21377519645612136
mutant1075	0.05	0.06973805127984017
mutant1076	0.1477932466576366	0.1729014533758164
mutant1077	0.08159389054059593	0.07073913015884742
mutant1078	0.2835672175600559	0.22839279846844318
